locale;iso_code_2;iso_code_3;area;name
aa;aa;aar;;Afar
aa-ER;aa;aar;ER;Afar (ER)
ady;;ady;;Adyghe
af;af;afr;;Afrikaans
af-NA;af;afr;NA;Afrikaans (NA)
af-ZA;af;afr;ZA;Afrikaans (SA)
agq;;agq;;Aghem
agq-CM;;agq;CM;Aghem
ak;ak;aka;;Akan
ak-GH;ak;aka;GH;Akan
am;am;amh;;Amharic
am-ET;am;amh;ET;Amharic
ar;ar;ara;;Arabic
ar-AE;ar;ara;AE;Arabic (AE)
ar-BH;ar;ara;BH;Arabic (BH)
ar-DJ;ar;ara;DJ;Arabic (DJ)
ar-DZ;ar;ara;DZ;Arabic (DZ)
ar-EG;ar;ara;EG;Arabic (EG)
ar-EH;ar;ara;EH;Arabic (EH)
ar-ER;ar;ara;ER;Arabic (ER)
ar-IL;ar;ara;IL;Arabic (IL)
ar-IQ;ar;ara;IQ;Arabic (IQ)
ar-JO;ar;ara;JO;Arabic (JO)
ar-KM;ar;ara;KM;Arabic (KM)
ar-KW;ar;ara;KW;Arabic (KW)
ar-LB;ar;ara;LB;Arabic (LB)
ar-LY;ar;ara;LY;Arabic (LY)
ar-MA;ar;ara;MA;Arabic (MA)
ar-MR;ar;ara;MR;Arabic (MR)
ar-OM;ar;ara;OM;Arabic (OM)
ar-PS;ar;ara;PS;Arabic (PS)
ar-QA;ar;ara;QA;Arabic (QA)
ar-SA;ar;ara;SA;Arabic (SA)
ar-SD;ar;ara;SD;Arabic (SD)
ar-SO;ar;ara;SO;Arabic (SO)
ar-SS;ar;ara;SS;Arabic (SS)
ar-SY;ar;ara;SY;Arabic (SY)
ar-TD;ar;ara;TD;Arabic (TD)
ar-TN;ar;ara;TN;Arabic (TN)
ar-YE;ar;ara;YE;Arabic (YE)
arc;;arc;;Imperial Aramaic 
as;as;asm;;Assamese
as-IN;as;asm;IN;Assamese
asa;;asa;;Aasá
asa-TZ;;asa;TZ;Aasá
ast;;ast;;Asturian
ast-ES;;ast;ES;Asturian
av;av;ava;;Avaric
ay;ay;;;Aymara
az;az;aze;;Azerbaijani
az-AZ;az;aze;AZ;Azerbaijani
ba;ba;bak;;Bashkir
bal;;bal;;Baluchi
bas;;bas;;Basque
bas-CM;;bas;CM;Basque
be;be;bel;;Belarusian
be-BY;be;bel;BY;Belarusian
bem;;bem;;Bemba
bem-ZM;;bem;ZM;Bemba
ber;;ber;;Berber languages
bez;;bez;;Bena
bez-TZ;;bez;TZ;Bena
bg;bg;bul;;Bulgarian
bg-BG;bg;bul;BG;Bulgarian
bh;bh;bih;;Bihari languages
bho;;bho;;Bhojpuri
bi;bi;bis;;Bislama
bm;bm;bam;;Bambara
bm-ML;bm;bam;ML;Bambara
bn;bn;ben;;Bengali
bn-BD;bn;ben;BD;Bengali (BD)
bn-IN;bn;ben;IN;Bengali (IN)
bo;bo;tib;;Tibetan
bo-CN;bo;tib;CN;Tibetan (CN)
bo-IN;bo;tib;IN;Tibetan (IN)
br;br;bre;;Breton
br-FR;br;bre;FR;Breton
brh;;brh;;Brahui
brx;;brx;;Bodo
brx-IN;;brx;IN;Bodo
bs;bs;bos;;Bosnian
bs-BA;bs;bos;BA;Bosnian
bua;;bua;;Buriat
ca;ca;cat;;Catalan\Valencian
ca-AD;ca;cat;AD;Catalan\Valencian (AD)
ca-ES;ca;cat;ES;Catalan\Valencian (ES)
ca-FR;ca;cat;FR;Catalan\Valencian (FR)
ca-IT;ca;cat;IT;Catalan\Valencian (IT)
cau;;cau;;Caucasian languages
ccp;;ccp;;Chakma
ccp-BD;;ccp;BD;Chakma (BD)
ccp-IN;;ccp;IN;Chakma (IN)
ce;ce;che;;Chechen
ce-RU;ce;che;RU;Chechen
ceb;;ceb;;Cebuano
ceb-PH;;ceb;PH;Cebuano (PH)
cgg;;cgg;;Kiga
cgg-UG;;cgg;UG;Kiga
ch-GU;ch;cha;GU;Chamorro (GU)
ch-MP;ch;cha;MP;Chamorro (MP)
chk;;chk;;Chuukese
chm;;chm;;Mari
chr;;chr;;Cherokee
chr-US;;chr;US;Cherokee (US)
ckb;;ckb;;Central Kurdish
ckb-IQ;;ckb;IQ;Central Kurdish (IQ)
ckb-IR;;ckb;IR;Central Kurdish (IR)
cmn;;cmn;;Mandarin Chinese
co_FR;co;cos;IT;Corsican (IT)
co_IT;co;cos;FR;Corsican (FR)
cs;cs;cze;;Czech
cs-CZ;cs;cze;CZ;Czech
cu;cu;chu;;Church Slavic\Old Slavonic\Church Slavonic\Old Bulgarian\Old Church Slavonic
cu-RU;cu;chu;RU;Church Slavic\Old Slavonic\Church Slavonic\Old Bulgarian\Old Church Slavonic
cv;cv;chv;;Chuvash
cy;cy;wel;;Welsh
cy-GB;cy;wel;GB;Welsh
da;da;dan;;Danish
da-DK;da;dan;DK;Danish
da-FO;da;dan;FO;Danish (FO)
da-GL;da;dan;GL;Danish (GL)
dag;;dag;;Dagbani
dav;;dav;;Dawida, Taita
dav-KE;;dav;KE;Dawida, Taita
de;de;ger;;German
de-AT;de;ger;AT;German (AT)
de-BE;de;ger;BE;German (BE)
de-CH;de;ger;CH;German (CH)
de-DE;de;ger;DE;German
de-DK;de;ger;DK;German (DK)
de-IT;de;ger;IT;German (IT)
de-LI;de;ger;LI;German (LI)
de-LU;de;ger;LU;German (LU)
diq;;diq;;Dimli
dje;;dje;;Zarma
dje-NE;;dje;NE;Zarma
doi;;doi;;Dogri
dsb;;dsb;;Lower Sorbian
dsb-DE;;dsb;DE;Lower Sorbian
dua;;dua;;Duala
dua-CM;;dua;CM;Duala
dv;dv;div;;Dhivehi
dyo;;dyo;;Jola-Fonyi
dyo-SN;;dyo;SN;Jola-Fonyi
dz;dz;dzo;;Dzongkha
dz-BT;dz;dzo;BT;Dzongkha
ebu;;ebu;;Igbo
ebu-KE;;ebu;KE;Igbo
ee;ee;ewe;;Ewe
ee-GH;ee;ewe;GH;Ewe (GH)
ee-TG;ee;ewe;TG;Ewe (TG)
el;el;gre;;Greek, Modern
el-CY;el;gre;CY;Greek, Modern (CY)
el-GR;el;gre;GR;Greek, Modern
en;en;eng;;English
en-AE;en;eng;AE;English (AE)
en-AG;en;eng;AG;English (AG)
en-AI;en;eng;AI;English (AI)
en-AS;en;eng;AS;English (AS)
en-AT;en;eng;AT;English (AT)
en-AU;en;eng;AU;English (AU)
en-BB;en;eng;BB;English (BB)
en-BE;en;eng;BE;English (BE)
en-BI;en;eng;BI;English (BI)
en-BM;en;eng;BM;English (BM)
en-BN;en;eng;BN;English (BN)
en-BS;en;eng;BS;English (BS)
en-BW;en;eng;BW;English (BW)
en-BZ;en;eng;BZ;English (BZ)
en-CA;en;eng;CA;English (CA)
en-CC;en;eng;CC;English (CC)
en-CH;en;eng;CH;English (CH)
en-CK;en;eng;CK;English (CK)
en-CM;en;eng;CM;English (CM)
en-CX;en;eng;CX;English (CX)
en-CY;en;eng;CY;English (CY)
en-DE;en;eng;DE;English (DE)
en-DG;en;eng;DG;English (DG)
en-DK;en;eng;DK;English (DK)
en-DM;en;eng;DM;English (DM)
en-ER;en;eng;ER;English (ER)
en-ET;en;eng;ET;English (ET)
en-FI;en;eng;FI;English (FI)
en-FJ;en;eng;FJ;English (FJ)
